gene,CTLrep1,CTLrep2,CTLrep3,KOrep1,KOrep2,KOrep3
ENSMUSG00000013275.10,308,258,341,314,362,318
ENSMUSG00000026433.14,90,60,102,58,79,45
ENSMUSG00000026434.13,6437,5220,7570,6370,6555,6213
ENSMUSG00000026435.16,22,11,26,16,17,23
ENSMUSG00000026436.16,3,7,4,6,6,4
ENSMUSG00000059149.18,1,4,1,1,1,1
ENSMUSG00000026437.13,152,115,139,132,142,140
ENSMUSG00000089808.4,75,61,85,96,106,128
ENSMUSG00000042115.5,4,2,8,1,5,7
ENSMUSG00000009772.16,220,154,292,264,283,265
ENSMUSG00000042066.17,46,39,65,37,41,54
ENSMUSG00000042046.16,170,128,177,143,150,139
ENSMUSG00000026439.15,749,629,869,658,743,572
ENSMUSG00000026442.15,70,41,63,39,33,31
ENSMUSG00000026443.4,32,31,47,42,31,39
ENSMUSG00000054387.14,6,3,11,3,2,4
ENSMUSG00000100228.2,692,623,840,700,716,940
ENSMUSG00000026447.18,251,208,305,232,299,211
ENSMUSG00000046062.6,83,60,88,81,90,67
ENSMUSG00000041757.18,118,115,177,142,163,170
ENSMUSG00000070644.14,32,29,37,31,36,46
ENSMUSG00000070643.12,111,75,90,88,94,105
ENSMUSG00000090553.9,2060,1746,2403,2021,2267,2384
ENSMUSG00000102976.7,105,59,81,89,83,43
ENSMUSG00000094410.9,303,175,278,272,344,127
ENSMUSG00000026463.18,309,272,365,243,262,228
ENSMUSG00000041559.8,22,15,26,10,14,20
ENSMUSG00000020423.7,147,161,211,208,243,230
ENSMUSG00000042429.10,6,3,8,3,7,5
ENSMUSG00000042305.13,2974,2859,3656,3344,3190,3387
ENSMUSG00000026456.19,149,136,219,172,166,178
ENSMUSG00000026457.15,2065,1622,2351,2135,2181,2174
ENSMUSG00000026455.15,728,628,805,757,762,647
ENSMUSG00000042229.10,142,123,137,140,141,152
ENSMUSG00000096712.2,6,8,5,3,3,4
ENSMUSG00000042207.18,3828,3301,4501,3882,3792,3499
ENSMUSG00000026452.16,11,9,10,8,4,7
ENSMUSG00000073557.13,24,25,27,28,28,10
ENSMUSG00000026429.10,44,39,55,34,58,65
ENSMUSG00000042793.14,5,1,3,2,3,6
ENSMUSG00000026426.11,671,618,860,771,741,774
ENSMUSG00000079139.5,20369,18358,25309,19731,17420,19160
ENSMUSG00000003051.14,87,100,138,117,150,142
ENSMUSG00000041926.16,2106,1858,2547,2374,2437,2320
ENSMUSG00000062580.10,114,139,177,124,138,159
